DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,10q25.2,10,112998590,TCF7L2,TCF7L2,,,ENSG00000148737,,,rs7903146-T,rs7903146,0.0,7903146,intron_variant,0.0,0.25,1e-11,11.0,,1.36,[1.25-1.49],Illumina [NR] (imputed),N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,11p15.4,11,2825839,KCNQ1,KCNQ1,,,ENSG00000053918,,,rs163184-G,rs163184,0.0,163184,intron_variant,0.0,0.41,1e-07,7.0,,1.24,[1.14-1.34],Illumina [NR] (imputed),N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,11q14.3,11,92975544,MTNR1B,MTNR1B,,,ENSG00000134640,,,rs10830963-G,rs10830963,0.0,10830963,intron_variant,0.0,0.2,2e-07,6.698970004336019,,1.28,[1.17-1.41],Illumina [NR] (imputed),N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,15q14,15,38530704,RASGRP1,RASGRP1,,,ENSG00000172575,,,rs7403531-T,rs7403531,0.0,7403531,intron_variant,0.0,0.33,6e-06,5.221848749616356,,1.21,[1.11-1.31],Illumina [NR] (imputed),N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,11p15.4,11,2828300,KCNQ1,KCNQ1,,,ENSG00000053918,,,rs2283228-A,rs2283228,0.0,2283228,intron_variant,0.0,0.79,8e-13,12.096910013008056,,1.5,[1.35-1.66],Illumina [NR] (imputed),N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,"11p15.4, 11p15.5",11;11;11;11,2825839;2837210;2932452;2397200,KCNQ1,KCNQ1; KCNQ1; PHLDA2 - NAP1L4; CD81,,,,,,rs163184-T; rs2237896-A; rs3888647-G; rs1049549-T,rs163184; rs2237896; rs3888647; rs1049549,0.0,,intron_variant; intron_variant; intergenic_variant; 3_prime_UTR_variant,,NR,1e-14,14.0,,0.61,,Illumina [NR] (imputed),N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,"11p15.4, 11p15.5",11;11;11;11,2825839;2837210;2932452;2397200,KCNQ1,KCNQ1; KCNQ1; PHLDA2 - NAP1L4; CD81,,,,,,rs163184-T; rs2237896-A; rs3888647-A; rs1049549-T,rs163184; rs2237896; rs3888647; rs1049549,0.0,,intron_variant; intron_variant; intergenic_variant; 3_prime_UTR_variant,,NR,7e-11,10.154901959985745,,0.38,,Illumina [NR] (imputed),N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,10q25.2,10,112994312,TCF7L2,TCF7L2,,,ENSG00000148737,,,rs34872471-C,rs34872471,0.0,34872471,intron_variant,0.0,NR,1e-94,94.0,,1.4231888,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,3p25.2,3,12355414,PPARG,PPARG,,,ENSG00000132170,,,rs71304101-G,rs71304101,0.0,71304101,intron_variant,0.0,NR,4e-16,15.397940008672036,,1.2229916,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,9p21.3,9,22134254,"CDKN2A, CDKN2B",CDKN2B-AS1 - DMRTA1,ENSG00000240498,ENSG00000176399,,6151.0,312570.0,rs10811662-G,rs10811662,0.0,10811662,intergenic_variant,1.0,NR,1e-13,13.0,,1.1729243,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,7p15.1,7,28159058,JAZF1,JAZF1,,,ENSG00000153814,,,rs1708302-C,rs1708302,0.0,1708302,intron_variant,0.0,NR,3e-19,18.522878745280337,,1.1503888,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,8q24.11,8,117172544,SLC30A8,SLC30A8,,,ENSG00000164756,,,rs13266634-C,rs13266634,0.0,13266634,missense_variant,0.0,NR,3e-15,14.522878745280336,,1.1476312,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,2q36.3,2,226257202,IRS1,NYAP2 - MIR5702,ENSG00000144460,ENSG00000263363,,527315.0,401508.0,rs2943656-G,rs2943656,0.0,2943656,regulatory_region_variant,1.0,NR,3e-10,9.522878745280336,,1.1089349,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,3p14.1,3,64726228,ADAMTS9,ADAMTS9-AS2,,,ENSG00000241684,,,rs4607103-C,rs4607103,0.0,4607103,intron_variant,0.0,NR,1e-07,7.0,,1.1014197,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,,,,"TSPAN8, LGR5",,,,,,,12:71611896-A,12:71611896,0.0,,,1.0,NR,2e-06,5.698970004336019,,1.1004289,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,2q24.2,2,160275183,RBMS1,RBMS1,,,ENSG00000153250,,,rs1563575-A,rs1563575,0.0,1563575,intron_variant,0.0,NR,6e-08,7.221848749616356,,1.100759,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,,,,"HHEX, IDE",,,,,,,10:94433455-A,10:94433455,0.0,,,1.0,NR,3e-09,8.522878745280337,,1.1010894,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,1p34.3,1,39570256,MACF1,"PABPC4, PABPC4-AS1",,,"ENSG00000090621, ENSG00000228060",,,rs3768321-T,rs3768321,0.0,3768321,intron_variant,0.0,NR,9e-09,8.045757490560675,,1.118625,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,10p13,10,12265895,"CDC123, CAMK1D",CDC123 - RN7SL198P,ENSG00000151465,ENSG00000264036,,15306.0,62237.0,rs11257655-T,rs11257655,0.0,11257655,TF_binding_site_variant,1.0,NR,4e-10,9.397940008672036,,1.1279479,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,5q11.2,5,56560548,ANKRD55,C5orf67,,,ENSG00000225940,,,rs3843467-T,rs3843467,0.0,3843467,intron_variant,0.0,NR,2e-10,9.69897000433602,,1.1300931,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,3q27.2,3,185801319,IGF2BP2,IGF2BP2,,,ENSG00000073792,,,rs71320321-A,rs71320321,0.0,71320321,intron_variant,0.0,NR,5e-16,15.30102999566398,,1.1456819,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,7p14.1,7,42448431,MHC,GLI3 - LINC01448,ENSG00000106571,ENSG00000238284,,184331.0,213285.0,rs115918645-A,rs115918645,1.0,10254822,intergenic_variant,1.0,NR,1e-11,11.0,,1.14,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,6p22.3,6,20675561,CDKAL1,CDKAL1,,,ENSG00000145996,,,rs35261542-A,rs35261542,0.0,35261542,intron_variant,0.0,NR,2e-14,13.69897000433602,,1.1423643,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,2p21,2,43359148,THADA,THADA,,,ENSG00000115970,,,rs6743071-T,rs6743071,0.0,6743071,intron_variant,0.0,NR,6e-10,9.221848749616356,,1.1863722,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,5q21.1,5,103250706,PAM,PPIP5K2 - MACIR,ENSG00000145725,ENSG00000181751,,37907.0,8057.0,rs75432112-A,rs75432112,0.0,75432112,intron_variant,1.0,NR,4e-07,6.3979400086720375,,1.1985351,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-03-29,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"up to 12,931 European ancestry cases, up to 57,196 European ancestry controls",,12p13.32,12,4275678,CCND2,"CCND2, CCND2-AS1",,,"ENSG00000118971, ENSG00000255920",,,rs76895963-T,rs76895963,0.0,76895963,non_coding_transcript_exon_variant,0.0,NR,2e-10,9.69897000433602,,1.72,,"Affymetrix, Illumina [~ 13000000] (imputed)",N
2018-07-16,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"7,522 European ancestry cases, 50,446 European ancestry controls","35,789 African-American, East Asian, South Asian, European or Hispanic cases, 56,738 African-American, East Asian, South Asian, European or Hispanic controls",6p21.33,6,31896761,EHMT2,EHMT2,,,ENSG00000204371,,,rs115884658-A,rs115884658,0.0,115884658,missense_variant,0.0,NR,3e-10,9.522878745280336,,1.21,[1.14-1.29],"Affymetrix, Illumina [1918233] (imputed)",N
2018-07-16,29358691,Bonas-Guarch S,2018-01-22,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29358691,Re-analysis of public genetic data reveals a rare X-chromosomal variant associated with type 2 diabetes.,Type 2 diabetes,"5,277 European ancestry cases, 15,702 European ancestry controls","9,253 European ancestry cases and controls, 3,490 Hispanic case and controls, 174,532 cases and controls",Xq23,X,116277556,AGTR2,AGTR2 - RNU6-154P,ENSG00000180772,ENSG00000207033,,102582.0,123292.0,rs146662075-T,rs146662075,0.0,146662075,intergenic_variant,1.0,NR,8e-09,8.096910013008056,,1.95,[1.56-2.45],"Affymetrix, Illumina [~ 1000000] (imputed)",N
2017-12-11,22885922,Morris AP,2012-09-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22885922,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.,Type 2 diabetes,"6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls","12,938 European ancestry male cases, 8,553 European ancestry female cases, 904 Pakistani ancestry male cases, 274 Pakistani ancestry female cases, 30,273 European ancestry male controls, 25,374 European ancestry female controls, 2,088 Pakistani ancestry male controls, 384 Pakistani ancestry female controls",7p21.2,7,15013235,DGKB,GTF3AP5 - AGMO,ENSG00000225816,ENSG00000187546,,27161.0,187082.0,rs6960043-C,rs6960043,0.0,6960043,intergenic_variant,1.0,0.470992007052675,3e-07,6.522878745280337,,1.06,[1.04-1.09],"Affymetrix, Illumina [up to 2500000] (imputed)",N
2017-12-11,22885922,Morris AP,2012-09-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22885922,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.,Type 2 diabetes,"6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls","12,938 European ancestry male cases, 8,553 European ancestry female cases, 904 Pakistani ancestry male cases, 274 Pakistani ancestry female cases, 30,273 European ancestry male controls, 25,374 European ancestry female controls, 2,088 Pakistani ancestry male controls, 384 Pakistani ancestry female controls",7p15.1,7,28156794,JAZF1,JAZF1,,,ENSG00000153814,,,rs849135-G,rs849135,0.0,849135,intron_variant,0.0,0.516793139712259,3e-17,16.522878745280337,,1.11,[1.08-1.13],"Affymetrix, Illumina [up to 2500000] (imputed)",N
2017-12-11,22885922,Morris AP,2012-09-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22885922,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.,Type 2 diabetes,"6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls","12,938 European ancestry male cases, 8,553 European ancestry female cases, 904 Pakistani ancestry male cases, 274 Pakistani ancestry female cases, 30,273 European ancestry male controls, 25,374 European ancestry female controls, 2,088 Pakistani ancestry male controls, 384 Pakistani ancestry female controls",7p13,7,44205764,GCK,YKT6,,,ENSG00000106636,,,rs10278336-A,rs10278336,0.0,10278336,intron_variant,0.0,0.497434854705026,6e-06,5.221848749616356,,1.07,[1.04-1.10],"Affymetrix, Illumina [up to 2500000] (imputed)",N
2017-12-11,22885922,Morris AP,2012-09-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22885922,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.,Type 2 diabetes,"6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls","12,938 European ancestry male cases, 8,553 European ancestry female cases, 904 Pakistani ancestry male cases, 274 Pakistani ancestry female cases, 30,273 European ancestry male controls, 25,374 European ancestry female controls, 2,088 Pakistani ancestry male controls, 384 Pakistani ancestry female controls",8p11.21,8,41661730,ANK1,ANK1,,,ENSG00000029534,,,rs516946-C,rs516946,0.0,516946,non_coding_transcript_exon_variant,0.0,0.764476252935483,2e-10,9.69897000433602,,1.09,[1.06-1.12],"Affymetrix, Illumina [up to 2500000] (imputed)",N
2017-12-11,22885922,Morris AP,2012-09-01,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/22885922,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes.,Type 2 diabetes,"6,377 European ancestry male cases, 5,794 European ancestry female cases, 22,243 European ancestry male controls, 34,619 European ancestry female controls","12,938 European ancestry male cases, 8,553 European ancestry female cases, 904 Pakistani ancestry male cases, 274 Pakistani ancestry female cases, 30,273 European ancestry male controls, 25,374 European ancestry female controls, 2,088 Pakistani ancestry male controls, 384 Pakistani ancestry female controls",8q22.1,8,94925274,TP53INP1,NDUFAF6,,,ENSG00000156170,,,rs7845219-T,rs7845219,0.0,7845219,intron_variant,0.0,0.52252758480133,5e-06,5.301029995663981,,1.06,[1.03-1.08],"Affymetrix, Illumina [up to 2500000] (imputed)",N
